full_text,text_cleaned_initial,text_no_emojis,text_casefolded,text_slang_fixed,text_tokenized,text_stopwords_removed
Cung yg ga buat #kaburajadulu pusing ga tuh kalian sekarang ada ww3 kita kan negara non block MALU GA? WKWK Dah sana kalian disana aja selamat ikit ww3,Cung yg ga buat  pusing ga tuh kalian sekarang ada ww kita kan negara non block MALU GA WKWK Dah sana kalian disana aja selamat ikit ww,Cung yg ga buat  pusing ga tuh kalian sekarang ada ww kita kan negara non block MALU GA WKWK Dah sana kalian disana aja selamat ikit ww,cung yg ga buat  pusing ga tuh kalian sekarang ada ww kita kan negara non block malu ga wkwk dah sana kalian disana aja selamat ikit ww,cung yang ga buat pusing ga tuh kalian sekarang ada ww kita kan negara non block malu ga wkwk deh sana kalian disana saja selamat ikit ww,"['cung', 'yang', 'ga', 'buat', 'pusing', 'ga', 'tuh', 'kalian', 'sekarang', 'ada', 'ww', 'kita', 'kan', 'negara', 'non', 'block', 'malu', 'ga', 'wkwk', 'deh', 'sana', 'kalian', 'disana', 'saja', 'selamat', 'ikit', 'ww']","['cung', 'pusing', 'tuh', 'ww', 'negara', 'non', 'block', 'malu', 'wkwk', 'deh', 'disana', 'selamat', 'ikit', 'ww']"
GASSSSSSSS AKU SIH GASSSSSS GOSAH CONFASS CONFESSSSSSS #KABURAJADULU,GASSSSSSSS AKU SIH GASSSSSS GOSAH CONFASS CONFESSSSSSS,GASSSSSSSS AKU SIH GASSSSSS GOSAH CONFASS CONFESSSSSSS,gassssssss aku sih gassssss gosah confass confesssssss,gassssssss aku sih gassssss gosah confass confesssssss,"['gassssssss', 'aku', 'sih', 'gassssss', 'gosah', 'confass', 'confesssssss']","['gassssssss', 'gassssss', 'gosah', 'confass', 'confesssssss']"
@apratomo81 @GreenpeaceID @prabowo Udah males bang mau #kaburajadulu soalnya pilihannya terbatas kemaren dan banyak drama No. 1 pura - pura pikun No. 2 Mertua oligarki No.3 dari banteng (tau lah kan banteng masalahnya apa aja..?),Udah males bang mau  soalnya pilihannya terbatas kemaren dan banyak drama No  pura  pura pikun No  Mertua oligarki No dari banteng tau lah kan banteng masalahnya apa aja,Udah males bang mau  soalnya pilihannya terbatas kemaren dan banyak drama No  pura  pura pikun No  Mertua oligarki No dari banteng tau lah kan banteng masalahnya apa aja,udah males bang mau  soalnya pilihannya terbatas kemaren dan banyak drama no  pura  pura pikun no  mertua oligarki no dari banteng tau lah kan banteng masalahnya apa aja,sudah males bang mau soalnya pilihannya terbatas kemarin dan banyak drama no pura pura pikun no mertua oligarki no dari banteng tahu lah kan banteng masalahnya apa saja,"['sudah', 'males', 'bang', 'mau', 'soalnya', 'pilihannya', 'terbatas', 'kemarin', 'dan', 'banyak', 'drama', 'no', 'pura', 'pura', 'pikun', 'no', 'mertua', 'oligarki', 'no', 'dari', 'banteng', 'tahu', 'lah', 'kan', 'banteng', 'masalahnya', 'apa', 'saja']","['males', 'bang', 'pilihannya', 'terbatas', 'kemarin', 'drama', 'pura', 'pura', 'pikun', 'mertua', 'oligarki', 'banteng', 'banteng']"
nyaris subuh thought: 1. yang kemarin #kaburajadulu NGAPAEN sekarang? indonesia tanah air beta kan negara non blok jadi ya masih aman. UDAH PADA BELI ROMPI ANTI RUDAL??? 2. soal ketahanan pangan diketawain kan kemarin? gimana sekarang???? banyak orang dimutasi ke kementan.,nyaris subuh thought  yang kemarin  NGAPAEN sekarang indonesia tanah air beta kan negara non blok jadi ya masih aman UDAH PADA BELI ROMPI ANTI RUDAL  soal ketahanan pangan diketawain kan kemarin gimana sekarang banyak orang dimutasi ke kementan,nyaris subuh thought  yang kemarin  NGAPAEN sekarang indonesia tanah air beta kan negara non blok jadi ya masih aman UDAH PADA BELI ROMPI ANTI RUDAL  soal ketahanan pangan diketawain kan kemarin gimana sekarang banyak orang dimutasi ke kementan,nyaris subuh thought  yang kemarin  ngapaen sekarang indonesia tanah air beta kan negara non blok jadi ya masih aman udah pada beli rompi anti rudal  soal ketahanan pangan diketawain kan kemarin gimana sekarang banyak orang dimutasi ke kementan,nyaris subuh thought yang kemarin ngapaen sekarang indonesia tanah air beta kan negara non blok jadi iya masih aman sudah pada beli rompi anti rudal soal ketahanan pangan diketawain kan kemarin bagaimana sekarang banyak orang dimutasi ke kementan,"['nyaris', 'subuh', 'thought', 'yang', 'kemarin', 'ngapaen', 'sekarang', 'indonesia', 'tanah', 'air', 'beta', 'kan', 'negara', 'non', 'blok', 'jadi', 'iya', 'masih', 'aman', 'sudah', 'pada', 'beli', 'rompi', 'anti', 'rudal', 'soal', 'ketahanan', 'pangan', 'diketawain', 'kan', 'kemarin', 'bagaimana', 'sekarang', 'banyak', 'orang', 'dimutasi', 'ke', 'kementan']","['subuh', 'thought', 'kemarin', 'ngapaen', 'indonesia', 'tanah', 'air', 'beta', 'negara', 'non', 'blok', 'aman', 'beli', 'rompi', 'anti', 'rudal', 'ketahanan', 'pangan', 'diketawain', 'kemarin', 'orang', 'dimutasi', 'kementan']"
@CHWEISMSE OMG KAK? hi namaku iriiii wow congrats ya kak km keren bisa #kaburajadulu semoga aku bisa nyusul,OMG KAK hi namaku iriiii wow congrats ya kak km keren bisa  semoga aku bisa nyusul,OMG KAK hi namaku iriiii wow congrats ya kak km keren bisa  semoga aku bisa nyusul,omg kak hi namaku iriiii wow congrats ya kak km keren bisa  semoga aku bisa nyusul,omg kak hai namaku iriiii wow congrats iya kak kamu keren bisa semoga aku bisa nyusul,"['omg', 'kak', 'hai', 'namaku', 'iriiii', 'wow', 'congrats', 'iya', 'kak', 'kamu', 'keren', 'bisa', 'semoga', 'aku', 'bisa', 'nyusul']","['omg', 'kak', 'hai', 'namaku', 'iriiii', 'wow', 'congrats', 'kak', 'keren', 'semoga', 'nyusul']"
@pecintaikannih hahaha dilema sekarang mereka kaum KaburAjaDulu,hahaha dilema sekarang mereka kaum KaburAjaDulu,hahaha dilema sekarang mereka kaum KaburAjaDulu,hahaha dilema sekarang mereka kaum kaburajadulu,hahaha dilema sekarang mereka kaum kaburajadulu,"['hahaha', 'dilema', 'sekarang', 'mereka', 'kaum', 'kaburajadulu']","['hahaha', 'dilema', 'kaum', 'kaburajadulu']"
@Kimberley_PS08 kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana.. dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal?,PS kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal,PS kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal,ps kalau mau jadi perdana menteri mending pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa malah pada sibuk rebahan sambil berkhayal,ps kalau mau jadi perdana menteri lebih baik pindah ke malaysia nies sekalian ajak tuh anak anak abah pindah kesana dulu kan katanya anak anak abah mau kaburajadulu tapi kenapa bahkan pada sibuk rebahan sambil berkhayal,"['ps', 'kalau', 'mau', 'jadi', 'perdana', 'menteri', 'lebih', 'baik', 'pindah', 'ke', 'malaysia', 'nies', 'sekalian', 'ajak', 'tuh', 'anak', 'anak', 'abah', 'pindah', 'kesana', 'dulu', 'kan', 'katanya', 'anak', 'anak', 'abah', 'mau', 'kaburajadulu', 'tapi', 'kenapa', 'bahkan', 'pada', 'sibuk', 'rebahan', 'sambil', 'berkhayal']","['ps', 'perdana', 'menteri', 'pindah', 'malaysia', 'nies', 'ajak', 'tuh', 'anak', 'anak', 'abah', 'pindah', 'kesana', 'anak', 'anak', 'abah', 'kaburajadulu', 'sibuk', 'rebahan', 'berkhayal']"
Indonesia bisa kebanjiran kaum KaburAjaDulu dari luar negri. Sedang di Indonesia ada yang mau KaburAjaDulu karena majikan koruptornya tertangkap.,Indonesia bisa kebanjiran kaum KaburAjaDulu dari luar negri Sedang di Indonesia ada yang mau KaburAjaDulu karena majikan koruptornya tertangkap,Indonesia bisa kebanjiran kaum KaburAjaDulu dari luar negri Sedang di Indonesia ada yang mau KaburAjaDulu karena majikan koruptornya tertangkap,indonesia bisa kebanjiran kaum kaburajadulu dari luar negri sedang di indonesia ada yang mau kaburajadulu karena majikan koruptornya tertangkap,indonesia bisa kebanjiran kaum kaburajadulu dari luar negri sedang di indonesia ada yang mau kaburajadulu karena majikan koruptornya tertangkap,"['indonesia', 'bisa', 'kebanjiran', 'kaum', 'kaburajadulu', 'dari', 'luar', 'negri', 'sedang', 'di', 'indonesia', 'ada', 'yang', 'mau', 'kaburajadulu', 'karena', 'majikan', 'koruptornya', 'tertangkap']","['indonesia', 'kebanjiran', 'kaum', 'kaburajadulu', 'negri', 'indonesia', 'kaburajadulu', 'majikan', 'koruptornya', 'tertangkap']"
@CHWEISMSE KAK NESSS CONGRATSSS!!!! HAHAHA WELKAM TU DE KLEB #kaburajadulu SEMANGAT SLALU KITA,KAK NESSS CONGRATSSS HAHAHA WELKAM TU DE KLEB  SEMANGAT SLALU KITA,KAK NESSS CONGRATSSS HAHAHA WELKAM TU DE KLEB  SEMANGAT SLALU KITA,kak nesss congratsss hahaha welkam tu de kleb  semangat slalu kita,kak nesss congratsss hahaha welkam tu adik kleb semangat slalu kita,"['kak', 'nesss', 'congratsss', 'hahaha', 'welkam', 'tu', 'adik', 'kleb', 'semangat', 'slalu', 'kita']","['kak', 'nesss', 'congratsss', 'hahaha', 'welkam', 'tu', 'adik', 'kleb', 'semangat', 'slalu']"
@sar9429 @didienAZHAR ya iaaa . . #KaburAjaDulu,ya iaaa,ya iaaa,ya iaaa,iya iaaa,"['iya', 'iaaa']",['iaaa']
