 aaa, a
aaaa, a
aaaaa, a
aaaaaaa, a
aaaaaaaaaaaaaaaaaaaa, a
acaranyaaaaaaa, acaranya
adalahhhhhhh, adalah
ahahahahahhah, haha
ahmaksudnya, maksudnya
ajsajsjsjsshsj, asu  
akarakarya, akar-akarnya
alhamdulilah, alhamdulillah
alhamdullilah, alhamdulillah
allhamdulillah, alhamdulillah
anehhhhhhhhhhhhhhhhhhhh, aneh
anjiiinggggg, anjing  
anjngggggggg, anjing  
aowkaowkaowk, awokawok  
aowkwkwkwkwk, awokawok  
arghhhhhhhhhhhhhhhhhhhhhhhhhhhh, argh 
asistensikan, asistenkan
assalamualaikum, assalamu'alaikum
astagfirullah, astaghfirullah
astaghfirullah, astaghfirullah
atasnamakan, atas namakan
aturanaturan, aturan-aturan
awkowkowkowkow, awokawok  
awoakwokaowk, awokawok  
awokawokawok, awokawok  
awoskoaakaoakak, awokawok  
bangeettttt, banget
bangeetttttt, banget
bangetsedih, banget sedih
bangettttaku, banget aku
bangetwkjriwjdjw, banget
banyakbanyak, banyak-banyak
bapakkkkkkkkk, bapak
bapakkkkkkkkkk, bapak
barangbarang, barang-barang
barengbareng, bareng-bareng
barudaaaakkkk, baru dong
bejirrkaburduluaja, bejir kabur dulu aja  
belajarnyaa, belajarnya
berantemkalo, berantem kalau
berantemnya, berantemnya
berbulanbulan, berbulan-bulan
berinteligensi, berintelijen
berkalikali, berkali-kali
berkarirlbh, berkarir lah
berprevilise, berprivilege
berprivillege, berprivilege
bersabdaaaa, bersabda
bersamasama, bersama-sama
bersihbersih, bersih-bersih
bertanggungjawab, bertanggung jawab
bertanyatanya, bertanya-tanya
besarbesaran, besar-besaran
bismillaahh, bismillah
bismillahirrahmanirrahim, bismillahirrahmanirrahim
bismillahirrohmanirrohim, bismillahirrahmanirrahim
bisnisajadulu, bisnis aja dulu
bisnisbisnis, bisnis-bisnis
bobrooookkkkkkk, bobrok  
bojongtuyul, bojong tuyul   tempat
bongkarbongkar, bongkar-bongkar
bruakakakakak, bruakak  
btsthanniversary, bts thanniversary  
bubblycuddly, bubbly cuddly
bulbulhabis, bulbul habis
capeknganggur, capek nganggur
cecunguknya, cecunguknya  
cengengesan, cengengesan  # tertawa sinis
cewekindonesia, cewek indonesia
ciumbuleuit, cium buleuit  # asumsi lokasi
ciyeeefinalis, ciye finalis  
confesssssss, confess
congratssssszzz, congrats
congrattssss, congrats
dahlahdisiniaja, dahlah disini aja
danggeunmin, danggeun min  
dediindonesiagelap, dedi indonesia gelap
dengankabur, dengan kabur
diarepinhonestly, diare pin honestly  
dibawahhooii, di bawah hoii
dibeginikan, dibeginikan  ?
dibelenggunya, dibelenggunya
dibicarakan, dibicarakan
dibilangnya, dibilangnya
dideportasilagi, dideportasi lagi
dihargaikaburajadulu, dihargai kabur aja dulu
dihargainnya, dihargainya
dijualdiwariskan, dijual diwariskan
dijualjualin, dijual-jualin
dikitaowkoawk, dikit awokawok  
dinyinyirin, dinyinyirin  
dioptimalin, dioptimalkan
dipengaruhi, dipengaruhi
diperhitungkan, diperhitungkan
diperjuangin, diperjuangkan
dipermainkan, dipermainkan
dipermasalahin, dipermasalahkan
diprioritasin, diprioritaskan
diprovokasi, diprovokasi
direinkarnasi, direinkarnasi
disalahartikan, disalahartikan
disalahgunakan, disalahgunakan
disamaratakan, disamaratakan
disappeared, menghilang
disekitarnya, disekitarnya
disekolahin, disekolahkan
disekolahkan, disekolahkan
diselametin, diselamatkan
disepelekan, disepelekan
disepelekanteringat, disepelekan teringat
ditangkepin, ditangkapin  
ditempeleng, ditempeleng  
ditinggalim, ditinggalin  
ditinggalin, ditinggalkan
doeljakarta, doel jakarta  
doodstreamterbaru, doodstream terbaru
duludijawab, dulu dijawab
dulupercuma, dulu percuma
duluternyata, dulu ternyata
eee, e
eepsaefullohfatah, eep saefulloh fatah  
ekwkwkwkwkkw, wkwkwk  
embarrassment, malu
enakinajadulu, enak aja dulu
enggaknya, enggaknya
essentially, pada dasarnya
expectations, ekspektasi
experienced, berpengalaman
experimental, eksperimental
exploreindonesia, explore indonesia
explorepage, explore page
fangirlingan, fangirling an  
februarikabur, februari kabur
feel, rasa
financially, secara finansial
flawlessoonchan, flawless oonchan  
forewarning, peringatan dini
forgooddiindo, for good di indo
freewstpapua, free west papua
fresh, segar
frustration, frustasi
fufufafaaibnasional, fufufafa aib nasional  
fundamental, fundamental
fyppppppppppppppppppppppp, fyp
fypviraltwitter, fyp viral twitter
gabisakabur, gabisa kabur
gadistercanti, gadis tercanti  
gagalbrandinggagalnikah, gagal branding gagal nikah
gagalmakambungkarno, gagal makam bung karno
gakmikirmikir, gak mikir-mikir
gaksabarbesokgajian, gak sabar besok gajian
gamblingnya, gamblingnya
